实验记录

数据量 & 模型 & gpu & 训练时间(s)\\
1k & transe & 1 & 12\\
1k & transh & 1 & 10\\
1k & transd & 1 & 14\\

1k & transe & 0 & 46\\
1k & transh & 0 & 27\\
1k & transd & 0 & 83\\

3k & transe & 0 & 68\\
3k & transh & 0 & 49\\
3k & transd & 0 & 95\\

3k & transe & 1 & 11\\
3k & transh & 1 & 11\\
3k & transd & 1 & 13\\

5k & transe & 0 & 78\\
5k & transh & 0 & 74\\
5k & transd & 0 & 117\\

5k & transe & 1 & 12\\
5k & transh & 1 & 13\\
5k & transd & 1 & 17\\

7k & transe & 0 & 81\\
7k & transh & 0 & 105\\
7k & transd & 0 & 161\\

7k & transe & 1 & 17\\
7k & transh & 1 & 15\\
7k & transd & 1 & 20\\

10k & transe & 0 & 170\\
10k & transh & 0 & 155\\
10k & transd & 0 & 251\\

10k & transe & 1 & 19\\
10k & transh & 1 & 17\\
10k & transd & 1 & 24\\

15k & transe & 0 & 215\\
15k & transh & 0 & 248\\
15k & transd & 0 & 443\\

15k & transe & 1 & 25\\
15k & transh & 1 & 23\\
15k & transd & 1 & 35\\








